-----------------------------------------------------
-----------------------------------------------------
Test files:
data_array20000.csv
data_array520000.csv
data_array1020000.csv
data_array1520000.csv
data_array2020000.csv
data_array2520000.csv
data_array3020000.csv
data_array3520000.csv
data_array4020000.csv
data_array4520000.csv
data_array5020000.csv
data_array5520000.csv
data_array6020000.csv
data_array6520000.csv
data_array7020000.csv
data_array7520000.csv
data_array8020000.csv
data_array8520000.csv
data_array9020000.csv
data_array9520000.csv

NOTES: Testing quick sort algorithm of various array sizes (total of 20 intervals between 20,000 and 10,000,000)
with a range between 2 and 300 recursions, increased by two, as well as getting the amount of time it takes
for each array to run. Also getting the average of three runs to filter out any non-significant differences in the run time.
-----------------------------------------------------

*************** Quick sorting array size: 20000 ***************

Number of Recursions: 2  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 17 ms : 811566 ns = (average) 17811566 ns
Number of Recursions: 4  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 47 ms : 641266 ns = (average) 47641266 ns
Number of Recursions: 6  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 12 ms : 16866 ns = (average) 12016866 ns
Number of Recursions: 8  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 41 ms : 99500 ns = (average) 41099500 ns
Number of Recursions: 10  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 13 ms : 484100 ns = (average) 13484100 ns
Number of Recursions: 12  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 12 ms : 815700 ns = (average) 12815700 ns
Number of Recursions: 14  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 11 ms : 441233 ns = (average) 11441233 ns
Number of Recursions: 16  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 13 ms : 211333 ns = (average) 13211333 ns
Number of Recursions: 18  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 13 ms : 979000 ns = (average) 13979000 ns
Number of Recursions: 20  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 20 ms : 842900 ns = (average) 20842900 ns
Number of Recursions: 22  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 54 ms : 551066 ns = (average) 54551066 ns
Number of Recursions: 24  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 57 ms : 435433 ns = (average) 57435433 ns
Number of Recursions: 26  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 54 ms : 569200 ns = (average) 54569200 ns
Number of Recursions: 28  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 22 ms : 812000 ns = (average) 22812000 ns
Number of Recursions: 30  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 726033 ns = (average) 10726033 ns
Number of Recursions: 32  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 13 ms : 316233 ns = (average) 13316233 ns
Number of Recursions: 34  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 11 ms : 822766 ns = (average) 11822766 ns
Number of Recursions: 36  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 712500 ns = (average) 10712500 ns
Number of Recursions: 38  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 13 ms : 454766 ns = (average) 13454766 ns
Number of Recursions: 40  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 11 ms : 438766 ns = (average) 11438766 ns
