Recursion Limit, Time Elapsed
2,1011485433
4,993911433
6,907428066
8,926959666
10,915339233
12,1049717533
14,1017629500
16,1061753800
18,1014935500
20,1069145300
22,1035101100
24,1085469166
26,1041428500
28,1099944233
30,1108504100
32,1120345266
34,1071898633
36,1116330566
38,1087501000
40,1129310133
42,1063705366
44,1094259033
46,1048655400
48,1075235200
50,1030869333
52,1045933366
54,1030368300
56,1062153933
58,1063300966
60,1077900800
62,1090364700
64,1187690666
66,1193177666
68,1282815233
70,1248483466
72,1277169800
74,1252765066
76,1325208900
78,1246523700
80,1266578200
82,1231303333
84,1232880966
86,1167446166
88,1215443166
90,1236132366
92,1323797433
94,1315942500
96,1391881066
98,1339773133
100,1344612000
102,1278254266
104,1307788666
106,1259247233
108,1308701166
110,1316246200
112,1437770466
114,1462608733
116,1486350233
118,1449119200
120,1530179966
122,1439475600
124,1440601666
126,1375703566
128,1399142133
130,1353679666
132,1370812433
134,1376675833
136,1419168400
138,1420751533
140,1536169466
142,1621847900
144,1688758333
146,1623762966
148,1694336166
150,1644441500
152,1696724133
154,1609419733
156,1611640800
158,1541114800
160,1543231600
162,1502406066
164,1547121266
166,1523085266
168,1581234966
170,1545427666
172,1760296266
174,1804446933
176,1845538000
178,1785493466
180,1834592066
182,1794096633
184,1783068100
186,1685948966
188,1693668933
190,1632465666
192,1672362066
194,1661439333
196,1697452166
198,1678467133
200,1922393000
202,1962906000
204,2027111333
206,1950638966
208,1913377733
210,1813901666
212,1802821466
214,1765249333
216,1833312033
218,1805372466
220,1921588600
222,1864686366
224,2274869766
226,2048321566
228,2027703333
230,1871740300
232,1875918333
234,1830000600
236,1869404566
238,1847800233
240,1886798500
242,1892350833
244,1917789633
246,1898148200
248,1957332300
250,1934965933
252,1982725433
254,1946728333
256,1997953533
258,1975158566
260,2015402666
262,2209453533
264,2306559966
266,2149115366
268,2153963966
270,2028850466
272,2039217933
274,2040301400
276,2071442966
278,2043460566
280,2085005833
282,2081129533
284,2132200466
286,2087833333
288,2143186600
290,2117712333
292,2163109966
294,2162586500
296,2151305533
298,2143967433
300,2208577033
